difficulty,common,person,trial,id,x,y,class
easy,A,1,1,1,0.29248458,-0.21379294,A
easy,A,1,1,2,-0.00494426,0.36880301,A
easy,A,1,1,3,0.0988043,0.35175579,A
easy,A,1,1,4,-0.41696175,-0.04435988,A
easy,A,1,1,5,-0.11064343,0.16681958,A
easy,A,1,1,6,-0.28172448,0.19000311,A
easy,A,1,1,7,0.10346557,-0.40875811,A
easy,A,1,1,8,-0.41630147,-0.22260752,A
easy,A,1,1,9,-0.40043414,0.3561257,A
easy,A,1,1,10,-0.01709317,-0.39048978,A
easy,A,1,1,11,0.29626325,-0.01626011,A
easy,A,1,1,12,0.11573162,0.04838412,A
easy,A,1,1,13,0.19011267,-0.24111101,A
easy,A,1,1,14,-0.11990266,-0.04905981,A
easy,A,1,1,15,0.21846678,-0.41836564,A
easy,A,1,1,16,-0.28647293,-0.04080856,B
easy,A,1,1,17,-0.09021758,-0.19112943,B
easy,A,1,1,18,-0.41509524,-0.35023753,B
easy,A,1,1,19,0.19164385,0.04483613,B
easy,A,1,1,20,0.11380857,-0.17387883,B
easy,A,1,2,1,-0.3836086,-0.02548412,A
easy,A,1,2,2,0.20426672,0.19437109,A
easy,A,1,2,3,-0.20331173,0.02328543,A
easy,A,1,2,4,-0.08501767,0.1631862,A
easy,A,1,2,5,-0.11362112,-0.39864362,A
easy,A,1,2,6,-0.20036379000000001,-0.40058043,A
easy,A,1,2,7,0.30039711,0.37893475,A
easy,A,1,2,8,-0.29562282,0.153721,A
easy,A,1,2,9,0.19676066,-0.24906401,A
easy,A,1,2,10,0.29100978,0.1915385,A
easy,A,1,2,11,0.08708995,-0.44354286,A
easy,A,1,2,12,-0.40413974,-0.22012385,A
easy,A,1,2,13,-0.19024138,-0.23125035,A
easy,A,1,2,14,-0.3078978,-0.2468429,A
easy,A,1,2,15,-0.00841473,0.21835089,A
easy,A,1,2,16,0.09857176,-0.15397451,B
easy,A,1,2,17,-0.30447549,-0.377938,B
easy,A,1,2,18,-0.39604486,0.23397323,B
easy,A,1,2,19,0.002137,-0.35706843,B
easy,A,1,2,20,-0.01616514,0.04720969,B
easy,A,1,3,1,-0.18442205,0.41852939,A
easy,A,1,3,2,0.00961631,0.41903293,A
easy,A,1,3,3,0.19684686,-0.2249658,A
easy,A,1,3,4,0.29139878,-0.37969549,A
easy,A,1,3,5,-0.29275978,0.3698023,A
easy,A,1,3,6,-0.3178792,-0.4373996,A
easy,A,1,3,7,0.08431616,-0.17186185,A
easy,A,1,3,8,0.30994283,-0.04101527,A
easy,A,1,3,9,-0.10872015,-0.17409682,A
easy,A,1,3,10,-0.18065724,-0.02241823,A
easy,A,1,3,11,0.29738438,0.39290346,A
easy,A,1,3,12,0.014144,0.02247738,A
easy,A,1,3,13,-0.00581632,0.24974068,A
easy,A,1,3,14,-0.19982107,-0.17548662,A
easy,A,1,3,15,-0.11744971,-0.40703605,A
easy,A,1,3,16,0.09291334,0.36458588,B
easy,A,1,3,17,0.20144439,0.22675522,B
easy,A,1,3,18,-0.39215922,0.20277771,B
easy,A,1,3,19,-0.11580186,0.4352909,B
easy,A,1,3,20,-0.41482373,-0.40092594,B
easy,A,1,4,1,0.20010979,0.41742888,A
easy,A,1,4,2,-0.39241823,0.43690048,A
easy,A,1,4,3,0.31563142,0.24461486,A
easy,A,1,4,4,-0.09478663,-0.20331731,A
easy,A,1,4,5,-0.10148425,0.3729441,A
easy,A,1,4,6,-0.41518272,0.15073057,A
easy,A,1,4,7,-0.28480366,-0.17527562,A
easy,A,1,4,8,0.30449057,-0.37734513,A
easy,A,1,4,9,-0.10052813,-0.38018191,A
easy,A,1,4,10,0.11015017,0.24436328,A
easy,A,1,4,11,0.09132774,0.4290194,A
easy,A,1,4,12,0.01275792,-0.44466236,A
easy,A,1,4,13,-0.11213652,0.00934932,A
easy,A,1,4,14,-0.30862065,0.40554645,A
easy,A,1,4,15,0.29952088,-0.17612265,A
easy,A,1,4,16,0.29447953,0.39809634,B
easy,A,1,4,17,-0.41025999,-0.35706668,B
easy,A,1,4,18,-0.08218017,0.22772416,B
easy,A,1,4,19,0.01671576,0.04481252,B
easy,A,1,4,20,0.10547689,-0.15035992,B
easy,A,1,5,1,0.01855679,-0.2147587,A
easy,A,1,5,2,-0.11599767,0.15578124,A
easy,A,1,5,3,0.20483064,0.19605365,A
easy,A,1,5,4,-0.38205613,-0.1631601,A
easy,A,1,5,5,0.28958605,-0.44373753,A
easy,A,1,5,6,0.19365363,-0.00779824,A
easy,A,1,5,7,-0.10560606,-0.35327248,A
easy,A,1,5,8,-0.40219025,0.39772053,A
easy,A,1,5,9,-0.2158622,0.03599356,A
easy,A,1,5,10,-0.01689,-0.40701238,A
easy,A,1,5,11,-0.41468183,0.21681502,A
easy,A,1,5,12,-0.11675321,-0.04868136,A
easy,A,1,5,13,0.08848532,0.17710598,A
easy,A,1,5,14,-0.20809738,0.23603575,A
easy,A,1,5,15,-0.01028687,0.22017865,A
easy,A,1,5,16,0.01649298,0.3501219,B
easy,A,1,5,17,-0.30379472,-0.01278293,B
easy,A,1,5,18,0.30347059,0.40717132,B
easy,A,1,5,19,-0.28893167,-0.37033747,B
easy,A,1,5,20,0.08195911,-0.21463029,B
easy,AB,1,1,1,-0.08864025,0.17491325,A
easy,AB,1,1,2,0.31759839,-0.39236467,A
easy,AB,1,1,3,-0.08616617,-0.37854508,A
easy,AB,1,1,4,0.18049312,-0.43849974,A
easy,AB,1,1,5,-0.29153145,0.42774119,A
easy,AB,1,1,6,-0.19907751,-0.37123879,A
easy,AB,1,1,7,-0.00673557,0.00990652,A
easy,AB,1,1,8,-0.29443802,-0.36760936,A
easy,AB,1,1,9,-0.01101698,-0.16572141,A
easy,AB,1,1,10,0.29083932,-0.03714527,A
easy,AB,1,1,11,0.20505067,0.43658563,B
easy,AB,1,1,12,-0.01661238,-0.4274124,B
easy,AB,1,1,13,-0.38881435,0.19407405,B
easy,AB,1,1,14,-0.08593053,-0.24687501,B
easy,AB,1,1,15,0.10206433,0.38894312,B
easy,AB,1,1,16,-0.39121175,-0.21039909,B
easy,AB,1,1,17,0.09411869,-0.15530903,B
easy,AB,1,1,18,0.10781494,-0.04785634,B
easy,AB,1,1,19,0.00534631,0.36213571,B
easy,AB,1,1,20,0.01575462,0.23682029,B
easy,AB,1,2,1,0.18416637,-0.01255748,A
easy,AB,1,2,2,-0.0154769,-0.02773356,A
easy,AB,1,2,3,-0.08560756,-0.03070043,A
easy,AB,1,2,4,0.09005859,-0.0016875,A
easy,AB,1,2,5,-0.40314332,-0.41620964,A
easy,AB,1,2,6,-0.18104678,0.36035707,A
easy,AB,1,2,7,0.31832283,-0.16691179,A
easy,AB,1,2,8,-0.10643816,-0.22640234,A
easy,AB,1,2,9,0.11378509,-0.23164093,A
easy,AB,1,2,10,0.18921712,0.19935626,A
easy,AB,1,2,11,-0.38419621,-0.04657243,B
easy,AB,1,2,12,-0.29913619,0.20527452,B
easy,AB,1,2,13,0.31575577,0.00891256,B
easy,AB,1,2,14,0.28456502,-0.42271808,B
easy,AB,1,2,15,0.19787597,-0.22030412,B
easy,AB,1,2,16,0.3030217,0.42550497,B
easy,AB,1,2,17,-0.00720392,-0.22741934,B
easy,AB,1,2,18,-0.29650231,-0.41836046,B
easy,AB,1,2,19,0.01104815,-0.3547356,B
easy,AB,1,2,20,-0.28727351,0.41209881,B
easy,AB,1,3,1,0.10593308,0.17231531,A
easy,AB,1,3,2,-0.00804468,-0.38345054,A
easy,AB,1,3,3,0.19867053,-0.35249889,A
easy,AB,1,3,4,0.01976729,0.18305861,A
easy,AB,1,3,5,-0.39705848,-0.40197749,A
easy,AB,1,3,6,0.30929195,0.41371646,A
easy,AB,1,3,7,-0.08412723,0.20128728,A
easy,AB,1,3,8,-0.1148846,-0.03983383,A
easy,AB,1,3,9,-0.30793646,0.16867731,A
easy,AB,1,3,10,-0.21738777,0.43721764,A
easy,AB,1,3,11,-0.40031031,0.18354272,B
easy,AB,1,3,12,0.29378834,-0.04368345,B
easy,AB,1,3,13,0.19418398,0.15584458,B
easy,AB,1,3,14,-0.10921334,-0.43401762,B
easy,AB,1,3,15,-0.21265548,-0.18659399,B
easy,AB,1,3,16,0.30237734,-0.15685458,B
easy,AB,1,3,17,0.21373412,0.35281143,B
easy,AB,1,3,18,0.10389644,-0.39169074,B
easy,AB,1,3,19,-0.28547144,0.015252,B
easy,AB,1,3,20,-0.01725206,-0.22357339,B
easy,AB,1,4,1,-0.18389936,-0.1849142,A
easy,AB,1,4,2,-0.10611939,-0.23386597,A
easy,AB,1,4,3,-0.38446872,0.01530031,A
easy,AB,1,4,4,0.01227678,0.41607092,A
easy,AB,1,4,5,0.01530156,-0.02012123,A
easy,AB,1,4,6,-0.28847977,0.23040067,A
easy,AB,1,4,7,0.20050796,-0.39274152,A
easy,AB,1,4,8,0.19195662,0.21709544,A
easy,AB,1,4,9,-0.31380181,0.38253873,A
easy,AB,1,4,10,0.21460094,0.42654652,A
easy,AB,1,4,11,-0.38218871,0.35189517,B
easy,AB,1,4,12,-0.19242229,0.21467639,B
easy,AB,1,4,13,-0.38546393,-0.40152722,B
easy,AB,1,4,14,-0.30016053,-0.19786411,B
easy,AB,1,4,15,0.11846429,0.24603916,B
easy,AB,1,4,16,0.20842643,-0.20840346,B
easy,AB,1,4,17,0.30926602,-0.18818106,B
easy,AB,1,4,18,0.01673121,-0.43061528,B
easy,AB,1,4,19,0.11200082,-0.40885437,B
easy,AB,1,4,20,-0.10019014,0.38724602,B
easy,AB,1,5,1,-0.1160591,-0.37671167,A
easy,AB,1,5,2,-0.18698812,-0.36472401,A
easy,AB,1,5,3,0.11969846,-0.44936161,A
easy,AB,1,5,4,-0.19172919,-0.02948869,A
easy,AB,1,5,5,0.29034985,-0.42060957,A
easy,AB,1,5,6,0.11824082,0.3726099,A
easy,AB,1,5,7,-0.18724642,0.40534404,A
easy,AB,1,5,8,-0.11797032,-0.17079677,A
easy,AB,1,5,9,-0.3079933,0.23026836,A
easy,AB,1,5,10,0.10059234,0.23605267,A
easy,AB,1,5,11,-0.10232035,-0.04065918,B
easy,AB,1,5,12,-0.41197941,-0.24846499,B
easy,AB,1,5,13,0.21787132,0.4245011,B
easy,AB,1,5,14,-0.01997163,0.4090703,B
easy,AB,1,5,15,-0.01500311,-0.4025506,B
