person,trial,id,found,difficulty,common,x,y,class
1,1,18,1,easy,A,-0.18735702,0.20938898,B
1,1,5,2,easy,A,-0.09539429,0.17670396,A
1,1,7,3,easy,A,-0.28950196,0.24977533,A
1,1,4,4,easy,A,-0.21607955,0.37049138,A
1,1,2,5,easy,A,-0.28404052,0.40787906,A
1,1,15,6,easy,A,-0.39150739,0.35146617,A
1,1,6,7,easy,A,-0.10554641,0.4317703,A
1,1,8,8,easy,A,0.20034043,0.36774636,A
1,1,10,9,easy,A,0.19003032,0.00114252,A
1,1,9,10,easy,A,0.28765937,-0.03380002,A
1,1,20,11,easy,A,0.30350421,-0.16064694,B
1,1,1,12,easy,A,0.00940519,-0.04527302,A
1,1,3,13,easy,A,-0.09914936,0.0086244,A
1,1,17,14,easy,A,-0.21629151,0.00581916,B
1,1,12,15,easy,A,-0.3953225,-0.00583946,A
1,1,11,16,easy,A,-0.29554256,-0.379152,A
1,1,19,17,easy,A,-0.11374561,-0.24876203,B
1,1,16,18,easy,A,-0.0199469,-0.4107184,B
1,1,13,19,easy,A,0.09597849,-0.42024267,A
1,1,14,20,easy,A,-0.20725857,-0.42497662,A
1,2,7,1,easy,A,0.28701388,0.39661597,A
1,2,2,2,easy,A,0.20844526,0.23257508,A
1,2,15,3,easy,A,3.2206e-4,0.20624257,A
1,2,4,4,easy,A,-0.09188587,0.23964117,A
1,2,18,5,easy,A,-0.39941608,0.21297826,B
1,2,8,6,easy,A,-0.29851011,0.21058738,A
1,2,3,7,easy,A,-0.20898503,0.01067392,A
1,2,1,8,easy,A,-0.39052358,0.00170283,A
1,2,12,9,easy,A,-0.41211739,-0.18058606,A
1,2,14,10,easy,A,-0.2938035,-0.21401818,A
1,2,13,11,easy,A,-0.21466431,-0.18690314,A
1,2,20,12,easy,A,-0.0014204,-5.9569e-4,B
1,2,16,13,easy,A,0.11486819,-0.17871658,B
1,2,9,14,easy,A,0.20414945,-0.21114035,A
1,2,10,15,easy,A,0.28908317,0.1965972,A
1,2,11,16,easy,A,0.09660402,-0.42547794,A
1,2,19,17,easy,A,4.2272e-4,-0.37460722,B
1,2,5,18,easy,A,-0.09049233,-0.36425708,A
1,2,6,19,easy,A,-0.19632228,-0.40596355,A
1,2,17,20,easy,A,-0.30985858,-0.40935896,B
1,3,5,1,easy,A,-0.38423104,0.38896281,A
1,3,3,2,easy,A,0.28825665,0.44090072,A
1,3,4,3,easy,A,0.18004224,0.38608132,A
1,3,12,4,easy,A,-0.30151369,0.18343325,A
1,3,13,5,easy,A,-0.00398792,0.18774129,A
1,3,1,6,easy,A,0.08147348,0.23249355,A
1,3,18,7,easy,A,0.19107472,0.21130848,B
1,3,17,8,easy,A,-0.19895964,0.04766398,B
1,3,16,9,easy,A,-0.08293933,-0.01298974,B
1,3,2,10,easy,A,0.20997993,-0.02020297,A
1,3,20,11,easy,A,0.29966872,0.03698236,B
1,3,7,12,easy,A,0.19560378,-0.15246067,A
1,3,6,13,easy,A,0.31964017,-0.18067775,A
1,3,10,14,easy,A,0.28029549,-0.43672988,A
1,3,14,15,easy,A,0.11625952,-0.39286549,A
1,3,15,16,easy,A,-0.01979817,-0.41230782,A
1,3,8,17,easy,A,-0.01367212,-0.20196127,A
1,3,11,18,easy,A,-0.1989059,-0.15304086,A
1,3,19,19,easy,A,-0.29344077,-0.19676172,B
1,3,9,20,easy,A,-0.39478314,-0.36561382,A
1,4,5,1,easy,A,-0.29545847,0.41516418,A
1,4,13,2,easy,A,-0.41561694,0.2497077,A
1,4,1,3,easy,A,-0.09864749,0.23665761,A
1,4,20,4,easy,A,-0.00654521,0.23289104,B
1,4,19,5,easy,A,-0.00504998,0.38454202,B
1,4,15,6,easy,A,0.1153667,0.41297575,A
1,4,11,7,easy,A,0.18689585,0.36479738,A
1,4,18,8,easy,A,0.11944024,0.04523654,B
1,4,7,9,easy,A,-0.00328342,9.171e-4,A
1,4,10,10,easy,A,0.31018223,-0.03376695,A
1,4,17,11,easy,A,0.081993,-0.21760942,B
1,4,9,12,easy,A,-0.00443485,-0.2063747,A
1,4,14,13,easy,A,-0.11644394,-0.21439991,A
1,4,16,14,easy,A,-0.39976862,-0.23542234,B
1,4,8,15,easy,A,-0.29488627,-0.37622122,A
1,4,6,16,easy,A,-0.19694105,-0.43774018,A
1,4,3,17,easy,A,-0.10000297,-0.36419689,A
1,4,12,18,easy,A,0.01709716,-0.43946828,A
1,4,4,19,easy,A,0.18081925,-0.39955146,A
1,4,2,20,easy,A,0.2951772,-0.40979315,A
1,5,19,1,easy,A,-0.40286251,0.43429144,B
1,5,1,2,easy,A,-0.21586829,0.44406677,A
1,5,6,3,easy,A,0.09584455,0.41142023,A
1,5,2,4,easy,A,0.29957515,0.36669922,A
1,5,14,5,easy,A,0.28703357,0.16503685,A
1,5,17,6,easy,A,0.2047368,0.17031721,B
1,5,4,7,easy,A,-0.19262291,0.22734531,A
1,5,12,8,easy,A,-0.29055187,0.23045671,A
1,5,13,9,easy,A,-0.18563789,0.03236864,A
1,5,11,10,easy,A,0.08877196,0.02630679,A
1,5,7,11,easy,A,0.31075673,0.01680283,A
1,5,3,12,easy,A,-0.08665048,-0.19714297,A
1,5,16,13,easy,A,-0.218389,-0.17147351,B
1,5,8,14,easy,A,-0.39631508,-0.39664725,A
